Source,Target,Weight,Type
Amroth,Frodo,6,Undirected
Amroth,Galadriel,1,Undirected
Amroth,Haldir,6,Undirected
Amroth,Legolas,2,Undirected
Amroth,Nimrodel,7,Undirected
Aragorn,Arwen,6,Undirected
Aragorn,Boromir,117,Undirected
Aragorn,Cebadilla,6,Undirected
Aragorn,Denethor,2,Undirected
Aragorn,Drogo,3,Undirected
Aragorn,Elladan,2,Undirected
Aragorn,Elrohir,2,Undirected
Aragorn,Elrond,41,Undirected
Aragorn,Gandalf,135,Undirected
Aragorn,Glorfindel,23,Undirected
Aragorn,Gollum,17,Undirected
Aragorn,Haldir,12,Undirected
Aragorn,Isildur,19,Undirected
Aragorn,Merry,75,Undirected
Aragorn,Nimrodel,1,Undirected
Aragorn,Pippin,69,Undirected
Aragorn,Sam,158,Undirected
Aragorn,Saruman,2,Undirected
Aragorn,Thranduil,3,Undirected
Arwen,Boromir,1,Undirected
Arwen,Elladan,2,Undirected
Arwen,Elrohir,2,Undirected
Arwen,Elrond,3,Undirected
Arwen,Lúthien,1,Undirected
Arwen,Merry,1,Undirected
Arwen,Pippin,1,Undirected
Asfaloth,Frodo,1,Undirected
Balin,Aragorn,4,Undirected
Balin,Bilbo,2,Undirected
Balin,Boromir,5,Undirected
Balin,Dáin,2,Undirected
Balin,Frodo,9,Undirected
Balin,Gandalf,13,Undirected
Balin,Gimli,10,Undirected
Balin,Oin,4,Undirected
Balin,Ori,3,Undirected
Balin,Sam,1,Undirected
Balin,Thorin,2,Undirected
Balrog,Aragorn,4,Undirected
Balrog,Boromir,4,Undirected
Balrog,Frodo,7,Undirected
Balrog,Gandalf,12,Undirected
Balrog,Gimli,6,Undirected
Barahir,Beren,1,Undirected
Barahir,Lúthien,2,Undirected
Barahir,Thingol,1,Undirected
Bard,Brand,2,Undirected
Bard,Frodo,2,Undirected
Bard,Glóin,1,Undirected
Beren,Dior,1,Undirected
Beren,Merry,1,Undirected
Beren,Pippin,1,Undirected
Beren,Sam,2,Undirected
Beren,Sauron,1,Undirected
Beren,Thingol,6,Undirected
Bilbo,Aragorn,29,Undirected
Bilbo,Arwen,5,Undirected
Bilbo,Beren,3,Undirected
Bilbo,Boromir,9,Undirected
Bilbo,Brand,1,Undirected
Bilbo,Drogo,9,Undirected
Bilbo,Déagol,1,Undirected
Bilbo,Elladan,2,Undirected
Bilbo,Elrohir,2,Undirected
Bilbo,Elrond,35,Undirected
Bilbo,Folco,2,Undirected
Bilbo,Fredegar,2,Undirected
Bilbo,Frodo,327,Undirected
Bilbo,Gandalf,126,Undirected
Bilbo,Gildor,12,Undirected
Bilbo,Gimli,3,Undirected
Bilbo,Glóin,7,Undirected
Bilbo,Hamfast,3,Undirected
Bilbo,Isildur,1,Undirected
Bilbo,Legolas,2,Undirected
Bilbo,Lindir,7,Undirected
Bilbo,Lobelia,15,Undirected
Bilbo,Lúthien,3,Undirected
Bilbo,Maggot,5,Undirected
Bilbo,Merry,23,Undirected
Bilbo,Nob,1,Undirected
Bilbo,Odo,3,Undirected
Bilbo,Pippin,23,Undirected
Bilbo,Saruman,4,Undirected
Bilbo,Sauron,2,Undirected
Bilbo,Ted,3,Undirected
Boromir,Celeborn,4,Undirected
Boromir,Denethor,2,Undirected
Boromir,Drogo,1,Undirected
Boromir,Erestor,1,Undirected
Boromir,Galadriel,2,Undirected
Boromir,Galdor,1,Undirected
Boromir,Gimli,24,Undirected
Boromir,Glóin,1,Undirected
Boromir,Gollum,1,Undirected
Boromir,Pippin,27,Undirected
Boromir,Sam,34,Undirected
Boromir,Saruman,9,Undirected
Brand,Dáin,2,Undirected
Brand,Frodo,1,Undirected
Brand,Glóin,1,Undirected
Cebadilla,Frodo,14,Undirected
Cebadilla,Pippin,3,Undirected
Cebadilla,Sam,3,Undirected
Celeborn,Aragorn,11,Undirected
Celeborn,Balin,1,Undirected
Celeborn,Galadriel,14,Undirected
Celeborn,Legolas,4,Undirected
Celeborn,Merry,2,Undirected
Celebrian,Aragorn,3,Undirected
Celebrian,Arwen,1,Undirected
Celebrian,Boromir,1,Undirected
Celebrian,Merry,1,Undirected
Celebrian,Pippin,1,Undirected
Denethor,Elrond,2,Undirected
Denethor,Gollum,2,Undirected
Dior,Aragorn,1,Undirected
Dior,Thingol,1,Undirected
Drogo,Gandalf,1,Undirected
Drogo,Gimli,1,Undirected
Drogo,Prímula,2,Undirected
Drogo,Sam,1,Undirected
Dwalin,Balin,1,Undirected
Dwalin,Frodo,1,Undirected
Dwalin,Glóin,1,Undirected
Dwalin,Oin,1,Undirected
Dwalin,Ori,1,Undirected
Dáin,Bilbo,1,Undirected
Dáin,Boromir,1,Undirected
Dáin,Dwalin,1,Undirected
Dáin,Elrond,4,Undirected
Dáin,Gandalf,1,Undirected
Dáin,Glóin,1,Undirected
Dáin,Oin,1,Undirected
Dáin,Ori,1,Undirected
Dáin,Sauron,4,Undirected
Elladan,Elrohir,3,Undirected
Elladan,Elrond,3,Undirected
Elladan,Frodo,1,Undirected
Elrohir,Elrond,3,Undirected
Elrohir,Frodo,1,Undirected
Elrond,Beren,2,Undirected
Elrond,Boromir,23,Undirected
