Source,Target,Weight,Type
Anborn,Faramir,10,Undirected
Anborn,Frodo,16,Undirected
Anborn,Gandalf,2,Undirected
Aragorn,Bilbo,2,Undirected
Aragorn,Bárbol,10,Undirected
Aragorn,Denethor,9,Undirected
Aragorn,Elrond,2,Undirected
Aragorn,Frodo,36,Undirected
Aragorn,Galadriel,3,Undirected
Aragorn,Gandalf,108,Undirected
Aragorn,Hasufel,10,Undirected
Aragorn,Háma,8,Undirected
Aragorn,Isildur,7,Undirected
Aragorn,Merry,17,Undirected
Aragorn,Pippin,41,Undirected
Aragorn,Sam,10,Undirected
Aragorn,Saruman,38,Undirected
Aragorn,Sauron,10,Undirected
Aragorn,Théoden,32,Undirected
Aragorn,Uglúk,2,Undirected
Arod,Aragorn,6,Undirected
Arod,Gimli,5,Undirected
Arod,Sombragris,5,Undirected
Arod,Théoden,2,Undirected
Balrog,Aragorn,1,Undirected
Balrog,Frodo,1,Undirected
Beren,Lúthien,1,Undirected
Beren,Sam,2,Undirected
Bilbo,Gandalf,1,Undirected
Bilbo,Pippin,1,Undirected
Boromir,Aragorn,67,Undirected
Boromir,Balrog,2,Undirected
Boromir,Denethor,20,Undirected
Boromir,Elrond,1,Undirected
Boromir,Frodo,57,Undirected
Boromir,Galadriel,3,Undirected
Boromir,Gandalf,17,Undirected
Boromir,Gimli,14,Undirected
Boromir,Isildur,9,Undirected
Boromir,Legolas,12,Undirected
Boromir,Merry,8,Undirected
Boromir,Pippin,5,Undirected
Boromir,Sam,14,Undirected
Boromir,Sauron,2,Undirected
Boromir,Théoden,2,Undirected
Bregalad,Bárbol,7,Undirected
Bregalad,Legolas,2,Undirected
Bregalad,Saruman,8,Undirected
Bárbol,Boromir,2,Undirected
Bárbol,Celeborn,3,Undirected
Bárbol,Elrond,1,Undirected
Bárbol,Galadriel,1,Undirected
Bárbol,Gimli,19,Undirected
Bárbol,Grima,1,Undirected
Bárbol,Legolas,19,Undirected
Bárbol,Merry,42,Undirected
Bárbol,Sam,6,Undirected
Bárbol,Saruman,33,Undirected
Bárbol,Théoden,9,Undirected
Bárbol,TomBombadil,1,Undirected
Celeborn,Aragorn,4,Undirected
Celeborn,Boromir,2,Undirected
Crinblanca,Aragorn,2,Undirected
Crinblanca,Gandalf,2,Undirected
Crinblanca,Glóin,1,Undirected
Crinblanca,Hasufel,1,Undirected
Crinblanca,Háma,2,Undirected
Crinblanca,Legolas,1,Undirected
Damrod,Denethor,1,Undirected
Damrod,Faramir,5,Undirected
Denethor,Faramir,3,Undirected
Denethor,Gandalf,6,Undirected
Denethor,Háma,1,Undirected
Denethor,Legolas,1,Undirected
Denethor,Sauron,2,Undirected
Denethor,Sombragris,2,Undirected
Denethor,Théoden,4,Undirected
Drogo,Boromir,1,Undirected
Drogo,Faramir,6,Undirected
Drogo,Hamfast,1,Undirected
Drogo,Sam,1,Undirected
Elrond,Galadriel,5,Undirected
Elrond,Gandalf,7,Undirected
Elrond,Gimli,1,Undirected
Elrond,Gollum,1,Undirected
Elrond,Legolas,1,Undirected
Elrond,Pippin,1,Undirected
Elrond,TomBombadil,1,Undirected
Erkenbrand,Aragorn,3,Undirected
Erkenbrand,Gamelin,2,Undirected
Erkenbrand,Gandalf,11,Undirected
Erkenbrand,Legolas,3,Undirected
Erkenbrand,Sombragris,1,Undirected
Erkenbrand,Théoden,7,Undirected
Faramir,Aragorn,10,Undirected
Faramir,Balrog,1,Undirected
Faramir,Bilbo,1,Undirected
Faramir,Boromir,44,Undirected
Faramir,Elrond,2,Undirected
Faramir,Frodo,147,Undirected
Faramir,Gollum,46,Undirected
Faramir,Isildur,11,Undirected
Faramir,Mablung,4,Undirected
Frodo,Bilbo,12,Undirected
Frodo,Bárbol,4,Undirected
Frodo,Damrod,3,Undirected
Frodo,Denethor,6,Undirected
Frodo,Drogo,14,Undirected
Frodo,Elrond,7,Undirected
Frodo,Gandalf,47,Undirected
Frodo,Gollum,472,Undirected
Frodo,Gorbag,1,Undirected
Frodo,Hamfast,1,Undirected
Frodo,Legolas,11,Undirected
Frodo,Merry,6,Undirected
Frodo,Pippin,4,Undirected
Frodo,Sam,488,Undirected
Frodo,Sombragris,1,Undirected
Frodo,Uglúk,1,Undirected
Galadriel,Faramir,2,Undirected
Galadriel,Frodo,9,Undirected
Galadriel,Merry,1,Undirected
Galadriel,Pippin,2,Undirected
Gamelin,Aragorn,7,Undirected
Gandalf,Arod,5,Undirected
Gandalf,Balrog,4,Undirected
Gandalf,Bregalad,3,Undirected
Gandalf,Bárbol,70,Undirected
Gandalf,Drogo,1,Undirected
Gandalf,Faramir,24,Undirected
Gandalf,Galadriel,9,Undirected
Gandalf,Gimli,71,Undirected
Gandalf,Gollum,11,Undirected
Gandalf,Grima,16,Undirected
Gandalf,Gwaihir,1,Undirected
Gandalf,Hasufel,5,Undirected
Gandalf,Legolas,78,Undirected
Gandalf,Pippin,82,Undirected
Gandalf,Sam,16,Undirected
Gandalf,Sombragris,57,Undirected
Gandalf,Théoden,103,Undirected
Gandalf,Théodred,1,Undirected
Gandalf,Uglúk,2,Undirected
Gildor,Sam,1,Undirected
Gimli,Aragorn,138,Undirected
Gimli,Balrog,1,Undirected
Gimli,Crinblanca,3,Undirected
Gimli,Damrod,1,Undirected
Gimli,Faramir,1,Undirected
Gimli,Frodo,16,Undirected
Gimli,Galadriel,2,Undirected
Gimli,Gamelin,6,Undirected
Gimli,Glóin,14,Undirected
Gimli,Hasufel,5,Undirected
Gimli,Mablung,1,Undirected
Gimli,Merry,11,Undirected
Gimli,Pippin,20,Undirected
Gimli,Sombragris,5,Undirected
Glóin,Aragorn,4,Undirected
Glóin,Bárbol,3,Undirected
Glóin,Gandalf,4,Undirected
Glóin,Legolas,5,Undirected
Glóin,Sauron,1,Undirected
Gollum,Anborn,12,Undirected
Gollum,Aragorn,8,Undirected
Gollum,Bilbo,4,Undirected
Gollum,Damrod,1,Undirected
Gollum,Drogo,3,Undirected
Gollum,Mablung,1,Undirected
Gollum,Merry,1,Undirected
Gollum,Pippin,1,Undirected
Gorbag,Shagrat,17,Undirected
Grima,Háma,7,Undirected
Grima,Saruman,2,Undirected
Grima,Théoden,16,Undirected
Grishnákh,Aragorn,2,Undirected
Grishnákh,Gimli,1,Undirected
Grishnákh,Gollum,1,Undirected
Grishnákh,Lugdush,2,Undirected
Grishnákh,Merry,10,Undirected
Grishnákh,Snaga,2,Undirected
Haldir,Frodo,1,Undirected
Hamfast,Faramir,1,Undirected
Hamfast,Galadriel,1,Undirected
Hasufel,Arod,7,Undirected
Hasufel,Sombragris,2,Undirected
Hasufel,Théoden,2,Undirected
Háma,Gandalf,17,Undirected
Háma,Gimli,1,Undirected
Háma,Legolas,1,Undirected
Háma,Saruman,2,Undirected
Isildur,Frodo,17,Undirected
Isildur,Gandalf,5,Undirected
Isildur,Gimli,1,Undirected
Isildur,Gollum,3,Undirected
Isildur,Legolas,1,Undirected
Legolas,Aragorn,146,Undirected
Legolas,Arod,14,Undirected
