Source,Target,Weight,Type
Amroth,Denethor,3,Undirected
Amroth,Faramir,16,Undirected
Amroth,Frodo,6,Undirected
Amroth,Galadriel,3,Undirected
Amroth,Gandalf,7,Undirected
Amroth,Haldir,6,Undirected
Amroth,Legolas,3,Undirected
Amroth,Merry,1,Undirected
Amroth,Nimrodel,9,Undirected
Amroth,Pippin,3,Undirected
Amroth,Sombragris,3,Undirected
Amroth,Théoden,4,Undirected
Anborn,Faramir,10,Undirected
Anborn,Frodo,16,Undirected
Anborn,Gandalf,2,Undirected
Angbor,Aragorn,2,Undirected
Angbor,Isildur,2,Undirected
Aragorn,Amroth,1,Undirected
Aragorn,Arwen,13,Undirected
Aragorn,Beregond,7,Undirected
Aragorn,Bergil,2,Undirected
Aragorn,Boromir,185,Undirected
Aragorn,Bárbol,18,Undirected
Aragorn,Cebadilla,6,Undirected
Aragorn,Denethor,16,Undirected
Aragorn,Drogo,3,Undirected
Aragorn,Elladan,8,Undirected
Aragorn,Elrohir,13,Undirected
Aragorn,Elrond,67,Undirected
Aragorn,Gandalf,309,Undirected
Aragorn,Glorfindel,23,Undirected
Aragorn,Gollum,25,Undirected
Aragorn,Gwaihir,2,Undirected
Aragorn,Haldir,12,Undirected
Aragorn,Hasufel,12,Undirected
Aragorn,Háma,8,Undirected
Aragorn,Imrahil,23,Undirected
Aragorn,Ioreth,13,Undirected
Aragorn,Isildur,37,Undirected
Aragorn,Merry,142,Undirected
Aragorn,Nimrodel,1,Undirected
Aragorn,Pippin,142,Undirected
Aragorn,Roheryn,3,Undirected
Aragorn,Sam,186,Undirected
Aragorn,Saruman,49,Undirected
Aragorn,Thranduil,3,Undirected
Aragorn,Théoden,56,Undirected
Aragorn,Uglúk,2,Undirected
Arod,Amroth,1,Undirected
Arod,Aragorn,7,Undirected
Arod,Arwen,1,Undirected
Arod,Celeborn,1,Undirected
Arod,Elrond,1,Undirected
Arod,Galadriel,1,Undirected
Arod,Gimli,6,Undirected
Arod,Sombragris,6,Undirected
Arod,Théoden,2,Undirected
Arwen,Amroth,1,Undirected
Arwen,Boromir,1,Undirected
Arwen,Elladan,2,Undirected
Arwen,Elrohir,2,Undirected
Arwen,Elrond,10,Undirected
Arwen,Galadriel,1,Undirected
Arwen,Gandalf,2,Undirected
Arwen,Isildur,1,Undirected
Arwen,Lúthien,2,Undirected
Arwen,Merry,1,Undirected
Arwen,Pippin,2,Undirected
Arwen,Théoden,1,Undirected
Asfaloth,Frodo,1,Undirected
Balin,Aragorn,4,Undirected
Balin,Bilbo,2,Undirected
Balin,Boromir,5,Undirected
Balin,Dáin,2,Undirected
Balin,Frodo,9,Undirected
Balin,Gandalf,13,Undirected
Balin,Gimli,10,Undirected
Balin,Oin,4,Undirected
Balin,Ori,3,Undirected
Balin,Sam,1,Undirected
Balin,Thorin,2,Undirected
Balrog,Aragorn,5,Undirected
Balrog,Boromir,6,Undirected
Balrog,Frodo,8,Undirected
Balrog,Gandalf,16,Undirected
Balrog,Gimli,7,Undirected
Barahir,Beren,1,Undirected
Barahir,Lúthien,2,Undirected
Barahir,Thingol,1,Undirected
Bard,Brand,2,Undirected
Bard,Frodo,2,Undirected
Bard,Glóin,1,Undirected
Beregond,Denethor,23,Undirected
Beregond,Faramir,33,Undirected
