Source,Target,Weight,Type
Amroth,Denethor,1,Undirected
Amroth,Faramir,6,Undirected
Amroth,Frodo,3,Undirected
Amroth,Galadriel,2,Undirected
Amroth,Gandalf,2,Undirected
Amroth,Haldir,3,Undirected
Amroth,Legolas,1,Undirected
Amroth,Merry,1,Undirected
Amroth,Nimrodel,3,Undirected
Amroth,Théoden,2,Undirected
Anborn,Faramir,3,Undirected
Anborn,Frodo,7,Undirected
Angbor,Aragorn,1,Undirected
Aragorn,Arod,2,Undirected
Aragorn,Arwen,6,Undirected
Aragorn,Balrog,2,Undirected
Aragorn,Beregond,3,Undirected
Aragorn,Boromir,92,Undirected
Aragorn,Bárbol,9,Undirected
Aragorn,Cebadilla,3,Undirected
Aragorn,Celebrian,1,Undirected
Aragorn,Drogo,2,Undirected
Aragorn,Elladan,4,Undirected
Aragorn,Elrohir,6,Undirected
Aragorn,Galadriel,7,Undirected
Aragorn,Gamelin,2,Undirected
Aragorn,Gandalf,145,Undirected
Aragorn,Gimli,97,Undirected
Aragorn,Glorfindel,9,Undirected
Aragorn,Gollum,14,Undirected
Aragorn,Grishnákh,1,Undirected
Aragorn,Gwaihir,1,Undirected
Aragorn,Haldir,5,Undirected
Aragorn,Hasufel,4,Undirected
Aragorn,Háma,1,Undirected
Aragorn,Húrin,1,Undirected
Aragorn,Imrahil,11,Undirected
Aragorn,Ioreth,4,Undirected
Aragorn,Isildur,18,Undirected
Aragorn,Legolas,105,Undirected
Aragorn,Merry,68,Undirected
Aragorn,Pippin,67,Undirected
Aragorn,Roheryn,2,Undirected
Aragorn,Sam,86,Undirected
Aragorn,Saruman,20,Undirected
Aragorn,Thranduil,2,Undirected
Aragorn,Théoden,20,Undirected
Arod,Arwen,1,Undirected
Arod,Celeborn,1,Undirected
Arod,Elrond,1,Undirected
Arod,Galadriel,1,Undirected
Arod,Gimli,4,Undirected
Arod,Sombragris,2,Undirected
Arwen,Amroth,1,Undirected
Arwen,Bilbo,1,Undirected
Arwen,Celeborn,1,Undirected
Arwen,Elladan,1,Undirected
Arwen,Elrohir,1,Undirected
Arwen,Elrond,8,Undirected
Arwen,Galadriel,1,Undirected
Balin,Aragorn,1,Undirected
Balin,Bilbo,2,Undirected
Balin,Dáin,1,Undirected
Balin,Frodo,3,Undirected
Balin,Gandalf,6,Undirected
Balin,Gimli,3,Undirected
Balin,Glóin,2,Undirected
Balin,Oin,1,Undirected
Balin,Ori,1,Undirected
Balrog,Frodo,4,Undirected
Balrog,Gandalf,5,Undirected
Balrog,Gimli,3,Undirected
Barahir,Beren,1,Undirected
Bard,Brand,2,Undirected
Beregond,Denethor,12,Undirected
Beregond,Faramir,14,Undirected
Beregond,Merry,1,Undirected
Beren,Dior,1,Undirected
Beren,Merry,1,Undirected
Beren,Pippin,1,Undirected
Beren,Sam,1,Undirected
Beren,Sauron,1,Undirected
Beren,Thingol,5,Undirected
Bergil,Beregond,3,Undirected
Bergil,Gordo,1,Undirected
Bergil,Merry,3,Undirected
Bergil,Pippin,7,Undirected
Bilbo,Aragorn,17,Undirected
Bilbo,Boromir,3,Undirected
Bilbo,Drogo,5,Undirected
Bilbo,Elladan,1,Undirected
Bilbo,Elrohir,1,Undirected
Bilbo,Elrond,17,Undirected
Bilbo,Folco,1,Undirected
Bilbo,Fredegar,1,Undirected
Bilbo,Frodo,161,Undirected
Bilbo,Galadriel,2,Undirected
Bilbo,Gildor,6,Undirected
Bilbo,Glóin,4,Undirected
Bilbo,Hamfast,1,Undirected
Bilbo,Lindir,2,Undirected
Bilbo,Nob,1,Undirected
Bilbo,Odo,1,Undirected
Bilbo,Saruman,2,Undirected
Bilbo,Sauron,1,Undirected
Bilbo,Thorin,2,Undirected
Boromir,Balin,3,Undirected
Boromir,Balrog,1,Undirected
Boromir,Celeborn,1,Undirected
Boromir,Denethor,15,Undirected
Boromir,Faramir,24,Undirected
Boromir,Gollum,1,Undirected
Boromir,Ingold,1,Undirected
Boromir,Isildur,10,Undirected
Boromir,Legolas,14,Undirected
Boromir,Sam,15,Undirected
Boromir,Saruman,2,Undirected
Boromir,Sombragris,1,Undirected
Brand,Dáin,1,Undirected
Bregalad,Aragorn,2,Undirected
Bárbol,Bregalad,7,Undirected
Bárbol,Celeborn,2,Undirected
