Source,Target,Weight,Type
Amroth,Denethor,3,Undirected
Amroth,Faramir,16,Undirected
Amroth,Gandalf,7,Undirected
Amroth,Merry,1,Undirected
Amroth,Nimrodel,2,Undirected
Amroth,Pippin,3,Undirected
Amroth,Sombragris,3,Undirected
Amroth,Théoden,4,Undirected
Angbor,Aragorn,2,Undirected
Angbor,Isildur,2,Undirected
Aragorn,Amroth,1,Undirected
Aragorn,Arod,1,Undirected
Aragorn,Beregond,7,Undirected
Aragorn,Bergil,2,Undirected
Aragorn,Bilbo,5,Undirected
Aragorn,Bárbol,8,Undirected
Aragorn,Celeborn,3,Undirected
Aragorn,Denethor,5,Undirected
Aragorn,Elrond,24,Undirected
Aragorn,Galadriel,4,Undirected
Aragorn,Gandalf,65,Undirected
Aragorn,Gimli,60,Undirected
Aragorn,Gwaihir,2,Undirected
Aragorn,Hasufel,2,Undirected
Aragorn,Imrahil,23,Undirected
Aragorn,Ioreth,13,Undirected
Aragorn,Isildur,11,Undirected
Aragorn,Legolas,52,Undirected
Aragorn,Lúthien,2,Undirected
Aragorn,Pippin,32,Undirected
Aragorn,Roheryn,3,Undirected
Aragorn,Sam,18,Undirected
Aragorn,Saruman,8,Undirected
Aragorn,Sauron,23,Undirected
Aragorn,Théoden,24,Undirected
Arod,Amroth,1,Undirected
Arod,Arwen,1,Undirected
Arod,Celeborn,1,Undirected
Arod,Elrond,1,Undirected
Arod,Galadriel,1,Undirected
Arod,Legolas,2,Undirected
Arwen,Amroth,1,Undirected
Arwen,Aragorn,7,Undirected
Arwen,Elrond,7,Undirected
Arwen,Frodo,7,Undirected
Arwen,Galadriel,1,Undirected
Arwen,Gandalf,2,Undirected
Arwen,Isildur,1,Undirected
Arwen,Lúthien,1,Undirected
Arwen,Théoden,1,Undirected
Beregond,Denethor,23,Undirected
Beregond,Faramir,33,Undirected
Beregond,Ioreth,1,Undirected
Beren,Sam,1,Undirected
Bergil,Beregond,6,Undirected
Bergil,Forlong,6,Undirected
Bergil,Gandalf,2,Undirected
Bergil,Gordo,1,Undirected
Bergil,Merry,7,Undirected
Bilbo,Arwen,1,Undirected
Bilbo,Bárbol,1,Undirected
Bilbo,Elrond,10,Undirected
Bilbo,Galadriel,2,Undirected
Bilbo,Saruman,1,Undirected
Boromir,Aragorn,1,Undirected
Boromir,Denethor,22,Undirected
Boromir,Faramir,18,Undirected
Boromir,Sombragris,1,Undirected
Bregalad,Aragorn,4,Undirected
Bárbol,Bregalad,3,Undirected
Bárbol,Celeborn,1,Undirected
Bárbol,Galadriel,1,Undirected
Bárbol,Merry,2,Undirected
Bárbol,Pippin,1,Undirected
Cebadilla,Frodo,1,Undirected
Celeborn,Amroth,1,Undirected
Celeborn,Arwen,2,Undirected
Celeborn,Elrond,3,Undirected
Celeborn,Merry,1,Undirected
Celeborn,Théoden,1,Undirected
Crinblanca,Aragorn,1,Undirected
Crinblanca,Halbarad,1,Undirected
Crinblanca,Merry,8,Undirected
Crinblanca,Sauron,1,Undirected
Crinblanca,Stybba,2,Undirected
Denethor,Faramir,68,Undirected
Denethor,Frodo,1,Undirected
Denethor,Gandalf,96,Undirected
Denethor,Hamfast,1,Undirected
Denethor,Ingold,3,Undirected
Denethor,Isildur,1,Undirected
