Label,Raza,Subraza,Género,Apariciones,Interacciones,Id
Frodo,Hobbit,Bolsón,Masculino,542,1402,Frodo
Gollum,Hobbit,HobbitsFuertes,Masculino,485,1039,Gollum
Sam,Hobbit,Gamyi,Masculino,465,1170,Sam
Gandalf,Mago,Maiar,Masculino,383,982,Gandalf
Aragorn,Hombre,Dúnedain,Masculino,322,763,Aragorn
Saruman,Mago,Ainur,Masculino,204,434,Saruman
Pippin,Hobbit,Tuk,Masculino,202,488,Pippin
Gimli,Enano,EnanodelasCavernas,Masculino,191,552,Gimli
Legolas,Elfo,Silvano,Masculino,179,534,Legolas
Bárbol,Ent,,Masculino,149,285,Bárbol
Faramir,Hombre,Dúnedain,Masculino,137,383,Faramir
Merry,Hobbit,Brandigamo,Masculino,134,326,Merry
Théoden,Hombre,Rohirrim,Masculino,129,285,Théoden
Boromir,Hombre,Dúnedain,Masculino,104,284,Boromir
Uglúk,Orco,Uruk-hai,Masculino,55,126,Uglúk
Sauron,Maiar,Ainur,Masculino,45,87,Sauron
Sombragris,Caballo,,Masculino,42,130,Sombragris
Grishnákh,Orco,,Masculino,37,86,Grishnákh
Ella-Laraña,Araña,ArañaGigante,Femenino,37,73,Ella-Laraña
Galadriel,Elfo,Noldor,Femenino,24,52,Galadriel
Bregalad,Ent,,Masculino,22,22,Bregalad
Háma,Hombre,Rohirrim,Masculino,21,59,Háma
Shagrat,Orco,,Masculino,21,36,Shagrat
Isildur,Hombre,Dúnedain,Masculino,19,57,Isildur
Gorbag,Orco,,Masculino,18,28,Gorbag
Grima,Hombre,Rohirrim,Masculino,16,42,Grima
Denethor,Hombre,Gondoriano,Masculino,15,58,Denethor
Anborn,Hombre,,Masculino,14,40,Anborn
Erkenbrand,Hombre,Rohirrim,Masculino,14,30,Erkenbrand
Elrond,Elfo,Peredhil,Masculino,13,37,Elrond
Mablung,Hombre,Dúnedain,Masculino,11,26,Mablung
Gamelin,Hombre,Rohirrim,Masculino,11,21,Gamelin
Bilbo,Hobbit,Bolsón,Masculino,9,26,Bilbo
Glóin,Enano,EnanodelasCavernas,Masculino,9,34,Glóin
Damrod,Hombre,Gondoriano,Masculino,9,25,Damrod
Arod,Caballo,Rohirrim,Masculino,8,46,Arod
Hasufel,Caballo,,Masculino,8,42,Hasufel
Drogo,Hobbit,Bolsón,Masculino,7,27,Drogo
Celeborn,Elfo,Galadhrim,Masculino,4,13,Celeborn
Théodred,Hombre,Rohirrim,Masculino,4,5,Théodred
Beren,Hombre,Dúnedain,Masculino,3,4,Beren
Corteza,Ent,,Masculino,3,7,Corteza
Zarcillo,Ent,,Masculino,3,7,Zarcillo
Mauhúr,Orco,Uruk-hai,Masculino,3,3,Mauhúr
Crinblanca,Caballo,,Masculino,3,14,Crinblanca
Balrog,Balrog,,Masculino,2,10,Balrog
TomBombadil,Desconocida,Desconocida,Masculino,2,5,TomBombadil
Lugdush,Orco,,Masculino,2,9,Lugdush
Hamfast,Hobbit,Gamyi,Masculino,2,7,Hamfast
Gwaihir,Águila,ÁguilaGigante,Masculino,2,2,Gwaihir
Gildor,Elfo,Noldor,Masculino,1,5,Gildor
Ceorl,Hombre,Rohirrim,Masculino,1,1,Ceorl
Haldir,Elfo,Galadhrim,Masculino,1,3,Haldir
Hayala,Ent,,Masculino,1,0,Hayala
Lúthien,Elfo,Silvano,Femenino,1,2,Lúthien
Snaga,Orco,,Masculino,1,4,Snaga
Ufthak,Orco,,Masculino,1,1,Ufthak
Ungoliant,Araña,ArañaGigante,Femenino,1,5,Ungoliant
