Label,Raza,Subraza,Género,Apariciones,Interacciones,Id
Frodo,Hobbit,Bolsón,Masculino,2112,2279,Frodo
Sam,Hobbit,Gamyi,Masculino,1346,1458,Sam
Gandalf,Mago,Maiar,Masculino,1226,1391,Gandalf
Aragorn,Hombre,Dúnedain,Masculino,1021,1117,Aragorn
Pippin,Hobbit,Tuk,Masculino,752,992,Pippin
Gollum,Hobbit,HobbitsFuertes,Masculino,597,552,Gollum
Merry,Hobbit,Brandigamo,Masculino,577,705,Merry
Gimli,Enano,EnanodelasCavernas,Masculino,390,490,Gimli
Bilbo,Hobbit,Bolsón,Masculino,363,380,Bilbo
Legolas,Elfo,Silvano,Masculino,341,481,Legolas
Saruman,Mago,Ainur,Masculino,316,242,Saruman
Faramir,Hombre,Dúnedain,Masculino,313,309,Faramir
Boromir,Hombre,Dúnedain,Masculino,299,357,Boromir
Théoden,Hombre,Rohirrim,Masculino,228,174,Théoden
Sauron,Maiar,Ainur,Masculino,218,133,Sauron
Elrond,Elfo,Peredhil,Masculino,185,250,Elrond
Bárbol,Ent,,Masculino,167,129,Bárbol
Denethor,Hombre,Gondoriano,Masculino,163,172,Denethor
TomBombadil,Desconocida,Desconocida,Masculino,154,71,TomBombadil
Galadriel,Elfo,Noldor,Femenino,92,94,Galadriel
Isildur,Hombre,Dúnedain,Masculino,76,77,Isildur
Beregond,Hombre,Gondoriano,Masculino,75,87,Beregond
Sombragris,Caballo,,Masculino,71,104,Sombragris
Uglúk,Orco,Uruk-hai,Masculino,55,50,Uglúk
Glóin,Enano,EnanodelasCavernas,Masculino,49,83,Glóin
Shagrat,Orco,,Masculino,48,42,Shagrat
Haldir,Elfo,Galadhrim,Masculino,45,44,Haldir
Ella-Laraña,Araña,ArañaGigante,Femenino,44,37,Ella-Laraña
Celeborn,Elfo,Galadhrim,Masculino,40,42,Celeborn
Glorfindel,Elfo,Noldor,Masculino,39,53,Glorfindel
Grishnákh,Orco,,Masculino,37,28,Grishnákh
Maggot,Hobbit,,Masculino,37,35,Maggot
Amroth,Elfo,Silvano,Masculino,36,37,Amroth
Imrahil,Hombre,Dúnedain,Masculino,35,52,Imrahil
Gildor,Elfo,Noldor,Masculino,32,49,Gildor
Nob,Hobbit,Gamwich,Masculino,31,17,Nob
Gorbag,Orco,,Masculino,30,31,Gorbag
Bregalad,Ent,,Masculino,25,16,Bregalad
Lúthien,Elfo,Silvano,Femenino,25,31,Lúthien
Cebadilla,Hombre,Bree,Masculino,25,20,Cebadilla
Balin,Enano,EnanodelasMontañas,Masculino,23,24,Balin
Gordo,Hobbit,Bolger,Masculino,23,31,Gordo
Nimrodel,Elfo,Silvano,Femenino,21,14,Nimrodel
Háma,Hombre,Rohirrim,Masculino,21,25,Háma
Lobelia,Hobbit,Sacovilla-Bolsón,Femenino,19,29,Lobelia
Grima,Hombre,Rohirrim,Masculino,18,19,Grima
Arwen,Elfo,Peredhil,Femenino,17,33,Arwen
Bergil,Hombre,Gondoriano,Masculino,17,19,Bergil
Radagast,Mago,Maiar,Masculino,17,13,Radagast
Dernhelm,Hombre,Rohirrim,Masculino,17,17,Dernhelm
Drogo,Hobbit,Bolsón,Masculino,17,32,Drogo
Crinblanca,Caballo,,Masculino,15,12,Crinblanca
Rosita,Hobbit,Coto,Femenino,15,23,Rosita
Balrog,Balrog,,Masculino,15,20,Balrog
Ioreth,Hombre,Gondoriano,Masculino,15,14,Ioreth
Ted,Hobbit,Arenas,Masculino,14,9,Ted
Anborn,Hombre,,Masculino,14,16,Anborn
Beren,Hombre,Dúnedain,Masculino,14,25,Beren
Erkenbrand,Hombre,Rohirrim,Masculino,14,19,Erkenbrand
Halbarad,Hombre,Dúnedain,Masculino,14,22,Halbarad
Ghân,Drúedain,,Masculino,14,5,Ghân
Fredegar,Hobbit,Bolger,Masculino,13,25,Fredegar
Gwaihir,Águila,ÁguilaGigante,Masculino,13,11,Gwaihir
Mablung,Hombre,Dúnedain,Masculino,12,15,Mablung
Elfhelm,Hombre,Rohirrim,Masculino,12,12,Elfhelm
Elladan,Elfo,Peredhil,Masculino,12,25,Elladan
Gamelin,Hombre,Rohirrim,Masculino,11,8,Gamelin
Déagol,Hobbit,HobbitsFuertes,Masculino,11,12,Déagol
Elrohir,Elfo,Peredhil,Masculino,11,25,Elrohir
Dáin,Enano,EnanodelasMontañas,Masculino,11,16,Dáin
