Label,Raza,Subraza,Género,Apariciones,Interacciones,Id
Sam,Hobbit,Gamyi,Masculino,471,909,Sam
Frodo,Hobbit,Bolsón,Masculino,412,972,Frodo
Gandalf,Mago,Maiar,Masculino,343,883,Gandalf
Pippin,Hobbit,Tuk,Masculino,322,809,Pippin
Aragorn,Hombre,Dúnedain,Masculino,265,569,Aragorn
Merry,Hobbit,Brandigamo,Masculino,251,478,Merry
Faramir,Hombre,Dúnedain,Masculino,176,382,Faramir
Denethor,Hombre,Gondoriano,Masculino,142,352,Denethor
Théoden,Hombre,Rohirrim,Masculino,99,170,Théoden
Sauron,Maiar,Ainur,Masculino,87,128,Sauron
Gimli,Enano,EnanodelasCavernas,Masculino,77,245,Gimli
Beregond,Hombre,Gondoriano,Masculino,75,211,Beregond
Legolas,Elfo,Silvano,Masculino,66,233,Legolas
Saruman,Mago,Ainur,Masculino,59,102,Saruman
Imrahil,Hombre,Dúnedain,Masculino,35,112,Imrahil
Bilbo,Hobbit,Bolsón,Masculino,34,104,Bilbo
Elrond,Elfo,Peredhil,Masculino,34,144,Elrond
Boromir,Hombre,Dúnedain,Masculino,29,78,Boromir
Sombragris,Caballo,,Masculino,28,110,Sombragris
Shagrat,Orco,,Masculino,27,58,Shagrat
Gollum,Hobbit,HobbitsFuertes,Masculino,25,71,Gollum
Amroth,Elfo,Silvano,Masculino,25,65,Amroth
Galadriel,Elfo,Noldor,Femenino,23,87,Galadriel
Ghân,Drúedain,,Masculino,20,12,Ghân
Bárbol,Ent,,Masculino,18,34,Bárbol
Bergil,Hombre,Gondoriano,Masculino,17,44,Bergil
Dernhelm,Hombre,Rohirrim,Masculino,17,35,Dernhelm
Ioreth,Hombre,Gondoriano,Masculino,15,41,Ioreth
Isildur,Hombre,Dúnedain,Masculino,15,37,Isildur
Rosita,Hobbit,Coto,Femenino,15,50,Rosita
Halbarad,Hombre,Dúnedain,Masculino,14,51,Halbarad
Elfhelm,Hombre,Rohirrim,Masculino,12,24,Elfhelm
Crinblanca,Caballo,,Masculino,12,22,Crinblanca
Gorbag,Orco,,Masculino,12,36,Gorbag
Nob,Hobbit,Gamwich,Masculino,9,7,Nob
Forlong,Hombre,Dúnedain,Masculino,9,25,Forlong
Arwen,Elfo,Peredhil,Femenino,9,41,Arwen
Elladan,Elfo,Peredhil,Masculino,9,34,Elladan
Elrohir,Elfo,Peredhil,Masculino,8,32,Elrohir
Cebadilla,Hombre,Bree,Masculino,8,9,Cebadilla
Celeborn,Elfo,Galadhrim,Masculino,8,36,Celeborn
Snaga,Orco,,Masculino,8,19,Snaga
Hirgon,Hombre,Gondoriano,Masculino,8,14,Hirgon
Ingold,Hombre,Gondoriano,Masculino,8,26,Ingold
TomBombadil,Desconocida,Desconocida,Masculino,7,12,TomBombadil
Gwaihir,Águila,ÁguilaGigante,Masculino,7,14,Gwaihir
Hirluin,Hombre,Gondoriano,Masculino,6,11,Hirluin
Húrin,Hombre,Dúnedain,Masculino,5,13,Húrin
Glóin,Enano,EnanodelasCavernas,Masculino,5,22,Glóin
WillPieblanco,Hobbit,Pieblanco,Masculino,5,6,WillPieblanco
Stybba,Caballo,,Masculino,4,13,Stybba
Grimbold,Hombre,Rohirrim,Masculino,4,13,Grimbold
Dúnhere,Hombre,HombredelValle,Masculino,4,15,Dúnhere
Elanor,Hobbit,Gamyi,Femenino,4,21,Elanor
Bregalad,Ent,,Masculino,3,9,Bregalad
Angbor,Hombre,,Masculino,3,4,Angbor
Nimrodel,Elfo,Silvano,Femenino,3,4,Nimrodel
Landroval,Águila,ÁguilaGigante,Masculino,3,8,Landroval
Duilin,Hombre,Dúnedain,Masculino,3,9,Duilin
Widfara,Hombre,Rohirrim,Masculino,3,4,Widfara
Paladin,Hobbit,Tuk,Masculino,3,11,Paladin
Fredegar,Hobbit,Bolger,Masculino,3,10,Fredegar
Ted,Hobbit,Arenas,Masculino,3,6,Ted
Lúthien,Elfo,Silvano,Femenino,2,6,Lúthien
Derufin,Hombre,Dúnedain,Masculino,2,8,Derufin
Arod,Caballo,Rohirrim,Masculino,2,14,Arod
Gordo,Hobbit,Bolger,Masculino,2,12,Gordo
Roheryn,Caballo,,Masculino,2,11,Roheryn
Grima,Hombre,Rohirrim,Masculino,2,6,Grima
Meneldor,Águila,ÁguilaGigante,Masculino,2,8,Meneldor
Lobelia,Hobbit,Sacovilla-Bolsón,Femenino,2,7,Lobelia
Beren,Hombre,Dúnedain,Masculino,1,3,Beren
Duinhir,Hombre,Dúnedain,Masculino,1,4,Duinhir
Déorwine,Hombre,Rohirrim,Masculino,1,1,Déorwine
Dervorin,Hombre,Rohirrim,Masculino,1,3,Dervorin
Dáin,Enano,EnanodelasMontañas,Masculino,1,4,Dáin
Hamfast,Hobbit,Gamyi,Masculino,1,4,Hamfast
Gothmog,Orco,,Masculino,1,0,Gothmog
Guthlaf,Hombre,Rohirrim,Masculino,1,1,Guthlaf
Gildor,Elfo,Noldor,Masculino,1,6,Gildor
Glorfindel,Elfo,Noldor,Masculino,1,6,Glorfindel
Gléowine,Hombre,Rohirrim,Masculino,1,1,Gléowine
Golasgil,Hombre,Gondoriano,Masculino,1,5,Golasgil
Erestor,Elfo,,Masculino,1,6,Erestor
Hasufel,Caballo,,Masculino,1,6,Hasufel
Lagduf,Orco,,Masculino,1,5,Lagduf
Mablung,Hombre,Dúnedain,Masculino,1,1,Mablung
Radbug,Orco,,Masculino,1,4,Radbug
Muzgash,Orco,,Masculino,1,5,Muzgash
SeñordelosNazgûl,Nazgûl,,Masculino,1,1,SeñordelosNazgûl
Walda,Hombre,Rohirrim,Masculino,1,2,Walda
